clique_id,lemma,upos,affix,stem,synonyms,hypernyms
103,close,VBD,ed,close,close|close down|close up|come together|conclude|fill up|fold|shut|shut down,change state|turn|end|terminate|stop|finish|cease|trade|prosecute|engage|pursue|move|approach|near|come on|go up|draw near|draw close|come near|join|barricade|block|blockade|block off|block up|bar|fill|complete
103,border,NN,NA,border,border|borderline|boundary line|delimitation|edge|margin|mete|molding|moulding|perimeter,boundary|bound|bounds|edge
103,china,NNP,NA,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
103,even,RB,NA,even,even|still|yet,NA
103,do,VBD,ed,do,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
103,not,RB,NA,not,non|not,NA
103,altogether,RB,NA,altogeth,all|all in all|all told|altogether|completely|entirely|in all|on the whole|right|totally|tout ensemble|whole|wholly,NA
103,stem,VB,NA,stem,halt|stanch|staunch|stem,originate in|orient|check|remove|take|take away|withdraw
103,flow,NN,NA,flow,catamenia|current|flow|flow rate|flowing|menses|menstruation|menstruum|period|rate of flow|stream,change of location|travel|rate|motion|movement|move|natural process|natural action|action|activity|course|line|discharge|emission|expelling
103,refugee,NNS,s,refuge,refugee,exile|expatriate|expat
104,next,JJ,NA,next,adjacent|following|future(a)|next|side by side(p)|succeeding(a),
104,arrival,NNS,s,arriv,arrival|arriver|comer|reaching,accomplishment|achievement|action|traveler|traveller
104,be,VBD,ed,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
104,vietnamese,JJ,NA,vietnames,Vietnamese,
104,boat,NN,NA,boat,boat|gravy boat|gravy holder|sauceboat,vessel|watercraft|dish
104,people,NNS,NA,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
105,1997,CD,NA,1997,NA,NA
