clique_id,lemma,upos,affix,stem,synonyms,hypernyms
35,brother,NN,NA,brother,blood brother|brother|Brother|buddy|chum|comrade|crony|pal|sidekick,male sibling|member|fellow member|friend|monk|monastic
35,sheik,NN,NA,sheik,Arab chief|beau|clotheshorse|dandy|dude|fashion plate|fop|gallant|sheik|sheikh|swell|tribal sheik|tribal sheikh,ruler|swayer|man|adult male
36,accord,VBG,ing,accord,accord|agree|allot|concord|consort|fit in|grant|harmonise|harmonize,match|fit|correspond|check|jibe|gibe|tally|agree|give
36,legend,NN,NA,legend,caption|fable|legend,story|title
36,embittered,JJ,NA,embitt,,NA
36,traitor,NN,NA,traitor,betrayer|double-crosser|double-dealer|traitor|treasonist|two-timer,criminal|felon|crook|outlaw|malefactor|deceiver|cheat|cheater|trickster|beguiler|slicker
36,give,VBD,ed,give,afford|apply|break|cave in|chip in|collapse|commit|consecrate|contribute|dedicate|devote|ease up|establish|fall in|feed|founder|generate|gift|give|give way|grant|hand|have|hold|impart|kick in|leave|make|move over|open|pass|pass on|pay|present|reach|render|return|sacrifice|throw|turn over|yield,supply|provide|render|furnish|transfer|state|say|tell|communicate|intercommunicate|direct|make|create|think|cogitate|cerebrate|produce|pass|hand|reach|pass on|turn over|give|utter|emit|let out|let loose|release|relinquish|resign|free|give up|use|utilize|utilise|apply|employ|administer|dispense|distribute|mete out|deal|parcel out|lot|shell out|deal out|dish out|allot|dole out|move|ply|cater|change|estimate|gauge|approximate|guess|judge|execute|compensate|recompense|repair|indemnify|show|perform|stretch|toast|drink|pledge|salute|wassail|accord|grant|express|evince|submit|lead|permit|allow|let|countenance|inflict|bring down|visit|impose|happen|hap|go on|pass off|occur|fall out|come about|take place|accept|consent|go for|offer|proffer
36,game,NN,NA,game,biz|game|plot|secret plan,activity|contest|competition|diversion|recreation|animal|animate being|beast|brute|creature|fauna|part|section|division|score|meat|scheme|strategy|game equipment|occupation|business|job|line of work|line|play|frolic|romp|gambol|caper
36,away,RB,NA,awai,aside|away|by|forth|off|out,NA
36,passionate,JJ,NA,passion,passionate,
36,sheik,NN,NA,sheik,Arab chief|beau|clotheshorse|dandy|dude|fashion plate|fop|gallant|sheik|sheikh|swell|tribal sheik|tribal sheikh,ruler|swayer|man|adult male
36,have,VBD,ed,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
36,seduced,JJ,NA,seduc,,NA
36,wife,NN,NA,wife,married woman|wife,woman|adult female|spouse|partner|married person|mate|better half
37,thus,RB,NA,thu,hence|so|thence|therefore|thus|thusly,NA
37,violently,RB,NA,violent,violently,
37,august,NNP,NA,august,Aug|August,Gregorian calendar month
37,1235,CD,NA,1235,NA,NA
37,christianity,NNP,NA,christian,Christendom|Christian religion|Christianity,religion|faith|religious belief|body
37,catalonian,NNP,NA,catalonian,,NA
37,language,NN,NA,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
37,come,VBD,ed,come,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA
37,ibiza,NNP,NA,ibiza,,NA
37,stay,VB,NA,stai,abide|appease|bide|continue|delay|detain|last out|outride|persist|quell|remain|rest|ride out|stay|stay on|stay put|stick|stick around,be|stay in place|stay|stay on|continue|remain|check|retard|delay|stop|halt|block|kibosh|fasten|fix|secure|fit|conform to|meet|satisfy|fill|fulfill|fulfil
38,mainland,NN,NA,mainland,mainland,land|dry land|earth|ground|solid ground|terra firma
38,reconquista,NNP,NA,reconquista,,NA
38,reconquest,NNP,NA,reconquest,,NA
38,continue,VBD,ed,continu,bear on|carry on|continue|cover|extend|go along|go forward|go on|keep|keep on|persist in|preserve|proceed|remain|retain|stay|stay on|uphold,act|move|talk|speak|keep|maintain|hold|travel|go|locomote|prolong|sustain|keep up|be
38,two,CD,NA,two,NA,NA
38,one-half,JJ,NA,one-half,,NA
38,century,NNS,s,centuri,100|C|century|hundred|one C,time period|period of time|period|large integer
39,moor,NNP,s,moor,moor|Moor|moorland,Muslim|Moslem|plain|field|champaign
39,suffer,VBD,ed,suffer,abide|ache|bear|brook|digest|endure|get|have|hurt|lose|meet|put up|stand|stick out|stomach|suffer|support|sustain|tolerate,experience|see|go through|receive|have|get|feel|permit|allow|let|countenance|worsen|decline|be|perceive|comprehend|tend|be given|lean|incline|run
39,major,JJ,NA,major,major|major(ip),
39,setback,NN,NA,setback,black eye|blow|reversal|reverse|setback,happening|occurrence|occurrent|natural event
39,1212,CD,NA,1212,NA,NA
39,battle,NN,NA,battl,battle|conflict|engagement|fight|struggle,military action|action|attempt|effort|endeavor|endeavour|try|group action
39,nava,NNP,s,nava,,NA
39,tolosa,NNP,NA,tolosa,,NA
39,northern,JJ,NA,northern,northerly|northern,
39,andalusium,NNP,s,andalusium,,NA
