clique_id,lemma,upos,affix,stem,synonyms,hypernyms
5,exposure,NN,NA,exposur,exposure|photo|photograph|pic|picture|vulnerability,vulnerability|influence|disclosure|revelation|revealing|view|aspect|prospect|scene|vista|panorama|danger|light unit|representation|photography|picture taking|presentation|presentment|demonstration|abandonment|forsaking|desertion
5,cre,NNP,NA,cre,,NA
5,recombinase,NN,NA,recombinas,,NA
5,activity,NN,NA,activ,action|activeness|activity|bodily function|bodily process|body process|natural action|natural process,act|deed|human action|human activity|state|organic process|biological process|capability|capacity|process|physical process|trait
5,[,NN,NA,[,,NA
5,10,CD,NA,10,NA,NA
5,],NN,NA,],,NA
6,strain,NNS,s,strain,air|breed|form|line|melodic line|melodic phrase|melody|mental strain|nervous strain|nisus|pains|song|stock|strain|straining|stress|striving|tenor|tune|var.|variant,deformation|difficulty|music|nervousness|nerves|variety|animal group|taxonomic group|taxonomic category|taxon|injury|hurt|harm|trauma|meaning|substance|attempt|effort|endeavor|endeavour|try|elbow grease|exertion|travail|sweat|vocal music
6,be,VBP,NA,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
6,useful,JJ,NA,us,useful|utile|utilitarian,
6,monitor,VBG,ing,monitor,monitor|supervise,observe
6,expression,NN,NA,express,aspect|construction|expression|face|facial expression|formula|formulation|grammatical construction|locution|look|manifestation|reflection|reflexion|saying|verbal expression|verbalism,countenance|visage|demonstration|demo|communication|communicating|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|expressive style|style|mathematical statement|organic process|biological process|constituent|grammatical constituent|squeeze|squeezing
6,cre,NNP,NA,cre,,NA
6,recombinase,NN,NA,recombinas,,NA
6,as,RB,NA,a,as|equally|every bit,
6,well,RB,NA,well,advantageously|comfortably|considerably|easily|good|intimately|substantially|well,NA
6,cell,NN,NA,cell,cadre|cell|cellphone|cellular phone|cellular telephone|cubicle|electric cell|jail cell|mobile phone|prison cell,compartment|living thing|animate thing|electrical device|political unit|political entity|radiotelephone|radiophone|wireless telephone|room
