text,clique,index,v,e,clique_id
S0045790617315720,NA,global,0.375,0,S0360835219300804_48
S0045790617315720,NA,global,0.4375,0.000587889476778,S0360835219300804_62
S0045790617315720,NA,global,0.777777777777778,0.00054704595186,S0360835219300804_122
S0045790617315720,NA,global,0.214285714285714,9.80680592331078E-05,S0360835219300804_224
S0045790617315720,NA,global,0.5,0.000370187561698,S0736585320300927_79
S0045790617315720,NA,global,0.25,0.000345781466113,S0736585320300927_120
S0045790617315720,NA,global,0.5,0.000408580183861,S0736585320300927_174
S0045790617315720,NA,global,0.5,0.000252525252525,S0736585320300927_211
S0045790617315720,NA,global,0.31578947368421,0.000463392029657,S0736585320300927_239
S0045790617315720,NA,global,0.583333333333333,0.000575263662512,S0924271621002379_69
S0045790617315720,NA,global,0.769230769230769,0.000324569944823,S0924271621002379_191
S0045790617315720,NA,global,0.625,0,S0925231217315217_179
S0045790617315720,NA,global,0.555555555555556,0.000234741784038,S0925231221011930_123
S0045790617315720,NA,global,0.3,0.000399414192518,S0925231221011930_172
S0045790617315720,NA,global,0.357142857142857,0.000507820434694,S0926580519300378_11
S0045790617315720,NA,global,0.476190476190476,0.000576938926894,S0926580519300378_12
S0045790617315720,NA,global,0.75,0,S0926580519300378_194
S0045790617315720,NA,global,0.357142857142857,0.000294204177699,S0926580519300378_247
S0045790617315720,NA,global,0.583333333333333,0,S0926580519300378_370
S0045790617315720,NA,global,0.2,0.000753012048193,S0926580519300378_459
S0045790617315720,NA,global,0.25,0.000189771325553,S095032931831022X_1
S0045790617315720,NA,global,0.461538461538462,0.00036075036075,S095032931831022X_21
S0045790617315720,NA,global,0.6,0,S095032931831022X_67
S0045790617315720,NA,global,0.5,0.000423011844332,S095032931831022X_157
S0045790617315720,NA,global,0.333333333333333,0.000545553737043,S0950705118301539_45
S0045790617315720,NA,global,0.538461538461538,0.000414937759336,S0950705118301539_110
S0045790617315720,NA,global,0.545454545454545,0.000488599348534,S0957417413000961_20
S0045790617315720,NA,global,0.857142857142857,0.000405515004055,S0957417413000961_32
S0045790617315720,NA,global,0.666666666666667,0.00079554494829,S0957417413000961_70
S0045790617315720,NA,global,0.545454545454545,0.000158102766798,S0957417414004898_78
S0045790617315720,NA,global,0.333333333333333,0.000396510705789,S0957417414004898_159
S0045790617315720,NA,global,0.333333333333333,0.000593824228029,S0957417414004898_217
S0045790617315720,NA,global,0.705882352941176,0.000157480314961,S0957417414007155_40
S0045790617315720,NA,global,0.5,0,S0957417414007155_61
S0045790617315720,NA,global,0.692307692307692,0.000185185185185,S0957417415006429_69
S0045790617315720,NA,global,0.6,0.000366032210835,S0957417415006429_89
S0045790617315720,NA,global,0.9,0.000772797527048,S0957417415006429_189
S0045790617315720,NA,global,0.833333333333333,0.000580046403712,S0957417415006429_272
S0045790617315720,NA,global,0.590909090909091,0.000419603893924,S0957417415006429_323
S0045790617315720,NA,global,0.9,0,S0957417416305577_4
S0045790617315720,NA,global,1,0,S0957417416305577_66
S0045790617315720,NA,global,0.75,0.000236910684672,S0957417416305577_85
S0045790617315720,NA,global,0.5,0,S0957417416305577_101
S0045790617315720,NA,global,0.8,0,S0957417416305577_113
S0045790617315720,NA,global,1,0,S0957417416305577_227
S0045790617315720,NA,global,0.571428571428571,0.000233263354327,S0957417419300508_27
S0045790617315720,NA,global,1,0,S0957417419300508_87
S0045790617315720,NA,global,0.75,0.000701754385965,S0957417419300508_125
S0045790617315720,NA,global,0,0,S0957417419300508_244
S0045790617315720,NA,global,0.666666666666667,0.000336247478144,S095741741930586X_82
